NODE,UID,Clustering Coefficient
0,836460098,0.03487563223169126
1,1031734142,1.6
2,1620195574,1.6
3,592958344,1.6
4,752049186,1.6
5,100000460797181,1.1644042232277527
6,1150567451,0.5477088948787062
7,1512397688,1.5483870967741935
8,659780554,1.122077922077922
9,1583767010,1.2512820512820513
10,1353053028,0.6530612244897959
11,100001291308549,0.6829001367989056
12,1592342186,1.007909604519774
13,1550065701,0.9642857142857143
14,1377861809,1.1586206896551725
15,1003742112,1.1285024154589371
16,1478113265,1.2411347517730495
17,1422401843,1.2026143790849673
18,100000614600550,1.0285714285714285
19,100001798566146,0.7111111111111111
20,1306021650,1.0735930735930737
21,100001693022196,0.2696629213483146
22,1577119215,0.8366013071895425
23,100000437562594,0.769620253164557
24,1577440545,1.3333333333333333
25,699749567,0.7111111111111111
26,1529441651,1.3743589743589744
27,100000048381511,0.8218029350104822
28,1557184819,1.5449735449735449
29,1529169343,1.3547237076648841
30,1379547150,1.3547237076648841
31,1286239002,1.0483870967741935
32,100002081767299,1.2549019607843137
33,100004967584302,1.6277056277056277
34,1288360510,1.2264808362369337
35,100008029844848,1.2486772486772486
36,100003784913934,1.5753846153846154
37,1041832045,1.4160919540229886
38,100008302000551,1.4679943100995732
39,1318986142,1.5483870967741935
40,100002269884346,1.3784615384615384
41,702751883,1.710144927536232
42,1659609863,1.439153439153439
43,1357590223,1.3975044563279857
44,100004490670042,1.564516129032258
45,1627000464,1.696969696969697
46,1577885232,1.5824175824175823
47,1449108101,1.0909090909090908
48,1347703224,0.5228758169934641
49,1548840395,0.6797385620915033
50,100000914628671,1.4222222222222223
51,1745385892,0.5415384615384615
52,1547402711,0.5894736842105263
53,1373347961,1.3333333333333333
54,1206710771,0.8484848484848485
55,1008807096,0.7111111111111111
56,100003825277168,1.0666666666666667
57,1472505912,0.8484848484848485
58,1120816688,1.0666666666666667
59,1120025226,0.8571428571428571
60,751502974,0.9921355111917726
61,1463362965,1.110204081632653
62,100003332784039,1.2026143790849673
63,1645624410,1.6521739130434783
64,1475837888,1.13487071977638
65,1246760058,0.8497175141242937
66,100002768706225,1.4896551724137932
67,1544416648,0.8527551942186089
68,1629302317,0.7463902258422807
69,1060995620,1.6521739130434783
70,554993142,1.3333333333333333
71,659499600,0.6060606060606061
72,100002630417624,0.8888888888888888
73,100000508970432,0.782608695652174
74,567278625,0.5803698435277382
75,100000487715596,0.6849894291754757
76,100000179415374,0.6525879917184265
77,100000274192255,0.8293650793650794
78,1643448655,0.6766566766566766
79,1516178922,0.8723404255319149
80,1825677330,0.7258064516129032
81,100002201148895,0.8571428571428571
82,100000599363299,1.0
83,100002294510758,0.9025641025641026
84,1210125203,1.3333333333333333
85,708010934,1.0666666666666667
86,100001074596054,0.0
87,1095862165,1.3333333333333333
88,1355864057,1.4222222222222223
89,572102924,1.2666666666666666
90,1187093618,0.49645390070921985
91,1462203855,1.4065934065934067
92,669584808,1.4945054945054945
93,1500995833,0.7741935483870968
94,590651024,1.1368421052631579
95,1265922058,1.0499419279907085
96,1556264029,0.8985245408009636
97,1331116607,1.2173913043478262
98,1526265547,1.2026143790849673
99,1176475320,1.7142857142857142
100,1054171618,0.8149068322981367
101,100001638152391,0.9581920903954803
102,100003142745920,0.8679089026915114
103,1036670655,1.0909090909090908
104,1340266499,0.638961038961039
105,537646373,0.0
106,1511243235,1.3333333333333333
107,100001871897493,0.48484848484848486
108,100003676567468,1.0666666666666667
109,1745483871,0.6875725900116144
110,1164788058,1.6
111,1031049658,1.3333333333333333
112,1547469370,0.7111111111111111
113,100001005424972,0.7195767195767195
114,1393294075,1.4065934065934067
115,564772809,0.5418894830659536
116,520556385,0.7912087912087912
117,701600541,1.2444444444444445
118,677317169,1.0
119,1264640018,0.6926406926406926
120,1802162943,0.8
121,1267867050,1.696969696969697
122,733285873,1.6
123,1461082972,1.0144927536231885
124,100000121438746,0.4397163120567376
125,1489906719,1.7142857142857142
126,1557964253,0.7619047619047619
127,1569649317,1.4065934065934067
128,1105261710,1.4285714285714286
129,791333064,0.7032967032967034
130,1596171400,1.696969696969697
131,1540561041,0.0
132,1493432158,0.983927323549965
133,1628360351,0.7407407407407407
134,1784412457,0.8714965626652564
135,603716019,0.9581920903954803
136,1613226624,0.735632183908046
137,800226939,0.8484848484848485
138,100002815756523,0.8147497805092186
139,100002967732289,1.6623376623376624
140,100001079463242,0.8768361581920904
141,100002451954229,0.696045197740113
142,1405480620,0.9696969696969697
143,1557010565,0.0
144,718708497,1.6
145,100003639653463,1.6
146,100000693867804,1.6
147,1554340672,0.0
148,100001032716895,0.8571428571428571
149,1477755458,0.8571428571428571
150,1504298546,1.0666666666666667
151,1668550495,1.4285714285714286
152,100000988246699,1.1428571428571428
153,741463054,1.0666666666666667
154,1465267665,0.9696969696969697
155,698112573,1.6
156,1517133420,1.6
157,1520038290,1.7142857142857142
158,100004559771088,1.0666666666666667
159,1311855495,0.5234708392603129
160,1457172777,1.7142857142857142
161,575979885,1.4285714285714286
162,1256518516,0.96
163,1701079324,1.1428571428571428
164,1487077810,1.0666666666666667
165,1249174445,0.38054968287526425
166,100000192180901,1.3333333333333333
167,1474636824,1.2
168,692951915,0.656084656084656
169,1601822613,1.6
170,1613591485,1.7142857142857142
171,100000716496024,1.4222222222222223
172,695477887,0.6956521739130435
173,5817531,1.7777777777777777
174,100000213743892,1.4222222222222223
175,1048418350,1.7142857142857142
176,100002956984769,0.8484848484848485
177,100004302276046,1.7777777777777777
178,100007603953907,1.4545454545454546
179,1458385607,1.0666666666666667
180,1008799945,0.9696969696969697
181,100001428024486,1.054945054945055
182,1396771412,0.8658008658008658
183,597324915,1.3333333333333333
184,100000571423613,1.3333333333333333
185,544919127,0.967032967032967
186,551935451,0.0
187,1747910245,0.7912087912087912
188,1542361940,1.3333333333333333
189,1561775570,1.3333333333333333
190,1147422517,0.0
191,100001280413385,1.0666666666666667
192,1267055942,1.3333333333333333
193,100004482155086,1.4545454545454546
194,100004066161920,0.0
195,720956002,1.0666666666666667
196,1479025876,1.3333333333333333
197,100000835554129,1.1428571428571428
198,1428844694,1.2444444444444445
199,1556083802,1.6
200,100000698149607,0.8888888888888888
201,1514870936,1.3333333333333333
202,628783466,1.0666666666666667
203,100001368420968,0.717948717948718
204,511193459,0.8484848484848485
205,100000949851672,0.9312169312169312
206,1314048809,0.8888888888888888
207,1668540992,0.8791208791208791
208,1283700881,1.1428571428571428
209,1569281950,0.8666666666666667
210,1386517877,1.3333333333333333
211,100001652030919,0.41846153846153844
212,100000664030510,1.3333333333333333
213,1190114289,0.939203354297694
214,1578647222,1.5584415584415585
215,1075460773,1.6
216,1579172220,0.8710359408033826
217,100000642204643,0.7730496453900709
218,100000944327188,0.0
219,1437736755,0.8571428571428571
220,1575183624,0.7333333333333333
221,1462770121,1.0666666666666667
222,630011129,0.8571428571428571
223,1148213848,0.6
224,1432035836,0.0
225,1582975737,1.1428571428571428
226,100000465069858,1.0666666666666667
227,1288324756,1.2444444444444445
228,1564129646,1.3333333333333333
229,1558260213,0.6153846153846154
230,1558083017,1.3333333333333333
231,1626905945,0.8888888888888888
232,100002358934814,1.6
233,1692139995,0.9411764705882353
234,1651050691,1.5578947368421052
235,1590354310,0.8826945412311266
236,1476666278,0.6252873563218391
237,1540724040,0.9982174688057041
238,1536653620,0.6545454545454545
239,1527332539,0.9411764705882353
240,100000743270013,1.1428571428571428
241,680659726,1.1428571428571428
242,100000740247424,0.8366013071895425
243,100000509863756,0.9133192389006343
244,1248077592,1.7142857142857142
245,1337746570,0.8519480519480519
246,1216442611,1.0980392156862746
247,505001217,1.8181818181818181
248,734901842,0.9934640522875817
249,100000452481169,1.0666666666666667
250,780892602,1.5824175824175823
251,1540549221,1.8181818181818181
252,1560710573,1.1428571428571428
253,1622738773,1.4222222222222223
254,100000266187689,0.0
255,100001822266982,1.2026143790849673
256,100003220899437,1.0666666666666667
257,100002748805974,0.6068965517241379
258,1724659168,0.0
259,1663040691,1.6
260,1439750394,1.2307692307692308
261,100001677596972,1.4945054945054945
262,1795054285,1.4285714285714286
263,100000506081060,1.1428571428571428
264,694285876,1.7777777777777777
265,1232072827,1.0666666666666667
266,100000006026395,1.3333333333333333
267,1644555731,1.3333333333333333
268,1610604028,1.3333333333333333
269,706512911,1.4285714285714286
270,100003532354877,0.8571428571428571
271,1456540389,1.3333333333333333
272,100002291200916,1.6
273,100002361611588,1.2
274,1430711411,1.6
275,1048221446,0.6666666666666666
276,100003829702779,0.9148936170212766
277,100003228732920,1.1428571428571428
278,100004426682363,1.1428571428571428
279,1559337535,1.0666666666666667
280,100003327577989,0.0
281,572171136,1.3333333333333333
282,781138749,1.1428571428571428
283,1168655714,1.3333333333333333
284,650606943,0.0
285,1593965528,1.0666666666666667
286,100000268942092,1.0666666666666667
287,100000968232202,0.0
288,1299135787,1.2444444444444445
289,1768059667,1.4545454545454546
290,1555206885,1.3333333333333333
291,1453744823,1.4222222222222223
292,100000683008839,1.3333333333333333
293,1483467709,1.6
294,1368124899,1.0457516339869282
295,1628266188,0.8
296,100000483689096,1.6
297,1584002040,1.7777777777777777
298,1321023144,1.7777777777777777
299,1554693303,0.0
300,1584069102,1.6666666666666667
301,100000470980823,1.0666666666666667
302,100003043750618,1.3333333333333333
303,1169335461,1.3333333333333333
304,100000642576173,0.42105263157894735
305,1375975315,0.6666666666666666
306,100000029835920,1.6
307,678699723,1.1428571428571428
308,1658362786,0.0
309,100001986141635,1.0666666666666667
310,591419319,1.1428571428571428
311,1024121348,1.6
312,1546522808,1.3333333333333333
313,1613140675,0.7912087912087912
314,100001623657750,0.0
315,100004427701083,1.0666666666666667
316,100000829985107,1.2121212121212122
317,626229190,1.6
318,1072707489,1.7142857142857142
319,1438698037,0.967032967032967
320,1518778121,1.6
321,1460318747,0.0
322,1386767517,1.2121212121212122
323,640367065,0.9142857142857143
324,1636804832,1.4285714285714286
325,1204836539,1.4285714285714286
326,1557106720,0.7272727272727273
327,1379492769,1.3333333333333333
328,100003113135151,1.3333333333333333
329,100007032030521,1.4222222222222223
330,1330866241,1.6
331,100001459904408,1.3333333333333333
332,100008492431649,0.0
333,100000883181295,0.0
334,1633788209,1.3333333333333333
335,100001952146734,1.1428571428571428
336,1346911280,1.1428571428571428
337,1552176403,0.9855072463768116
338,100004283822939,0.967032967032967
339,1101030535,1.3333333333333333
340,100001263757955,0.8666666666666667
341,100000263684799,0.0
342,862830703,1.6
343,1075098284,1.3333333333333333
344,1139756507,1.3333333333333333
345,1285548134,0.0
346,1418284189,1.3333333333333333
347,100001591300159,1.3333333333333333
348,507631086,0.0
349,1569581584,0.0
350,1007709317,0.6797385620915033
351,623844406,1.3333333333333333
352,1195812221,1.3333333333333333
353,100001892187077,0.7032967032967034
354,100004467066436,1.3333333333333333
355,100000592057475,0.8571428571428571
356,757802689,1.1428571428571428
357,1124714014,1.0666666666666667
358,100002888949752,0.9696969696969697
359,100001103491934,1.0666666666666667
360,1153089848,0.0
361,1463894316,1.2307692307692308
362,1586461351,1.6
363,100001573443229,1.0
364,100002744942683,1.1428571428571428
365,100001439659930,1.3333333333333333
366,1743955523,1.3333333333333333
367,1479333770,1.3333333333333333
368,1504360075,1.3333333333333333
369,100000375983558,1.6
370,100002909319260,1.3333333333333333
371,100003320849218,1.3333333333333333
372,1062507746,0.0
373,1565629094,1.0666666666666667
374,1352832816,1.3333333333333333
375,1235104048,0.0
376,1473023750,1.3333333333333333
377,1750330291,0.0
378,1508824441,0.0
379,649021472,1.3333333333333333
380,778033165,1.3333333333333333
381,1182370220,1.0666666666666667
382,1581378866,1.0666666666666667
383,1052252922,1.3333333333333333
384,100006680409617,1.7142857142857142
385,1454082922,1.3333333333333333
386,1284028491,1.3333333333333333
387,1443267284,1.3333333333333333
388,1019064693,0.0
389,100003463030895,1.6
390,1834016443,0.0
391,1522676779,0.0
392,100000175295512,1.3333333333333333
393,1389007392,1.3333333333333333
394,100000019652923,1.3333333333333333
395,1849575570,0.0
396,1609786183,0.0
397,100000494169403,1.3333333333333333
398,100003730505905,1.3333333333333333
399,1486168156,0.0
400,755749967,1.3333333333333333
401,589236336,1.3333333333333333
402,1613247180,0.0
403,1576926807,0.0
404,1488096153,1.0666666666666667
405,1063863945,1.3333333333333333
406,1550237997,0.0
407,1099060807,0.0
408,100001479467440,1.3333333333333333
409,603549226,1.0666666666666667
410,1435015804,0.0
411,1556228173,0.0
412,1433288692,0.0
413,1594294965,0.8484848484848485
414,1286083141,0.0
415,1407863490,0.0
416,1575157543,1.3333333333333333
417,1413994569,0.0
418,100000019521492,0.0
419,100000180979866,0.0
420,1253203453,0.0
421,1387804640,0.0
422,1577991118,0.0
423,1333568317,1.3333333333333333
424,1481304268,0.0
425,1575434372,0.0
