UID,DEGREE
836460098,850
1150567451,106
1353053028,98
100001693022196,90
100001291308549,86
1544416648,82
1556264029,82
100000437562594,80
1643448655,78
1629302317,74
100000179415374,70
1054171618,70
100003142745920,70
100002815756523,68
1550065701,64
100000274192255,64
1784412457,62
1592342186,60
1246760058,60
100001638152391,60
603716019,60
100001079463242,60
100002451954229,60
751502974,58
1613226624,58
659780554,56
100000614600550,56
1340266499,56
1536653620,56
1337746570,56
100000048381511,54
1475837888,54
1493432158,54
1190114289,54
100000460797181,52
1463362965,50
1478113265,48
1516178922,48
1187093618,48
100000121438746,48
100000642204643,48
100003829702779,48
1003742112,46
100000487715596,44
1249174445,44
1579172220,44
100000509863756,44
1288360510,42
1265922058,42
1745483871,42
1590354310,42
1583767010,40
1529441651,40
100002294510758,40
100001368420968,40
100008302000551,38
567278625,38
1311855495,38
640367065,36
1529169343,34
1379547150,34
100002081767299,34
1357590223,34
564772809,34
1540724040,34
1527332539,34
1512397688,32
1286239002,32
1318986142,32
100004490670042,32
1825677330,32
1500995833,32
752049186,30
1377861809,30
1041832045,30
100002768706225,30
1476666278,30
100002748805974,30
1557184819,28
100008029844848,28
1659609863,28
100002630417624,28
100001005424972,28
1557964253,28
1628360351,28
692951915,28
100000949851672,28
100003784913934,26
100002269884346,26
1745385892,26
1256518516,26
100001652030919,26
702751883,24
1645624410,24
1060995620,24
100000508970432,24
1331116607,24
1461082972,24
695477887,24
1552176403,24
1306021650,22
100004967584302,22
100001871897493,22
1264640018,22
100002967732289,22
1465267665,22
1396771412,22
1578647222,22
100000743270013,22
100003228732920,22
1547402711,20
590651024,20
1802162943,20
1651050691,20
100000642576173,20
1422401843,18
1577119215,18
1347703224,18
1548840395,18
100003332784039,18
1526265547,18
1692139995,18
100000740247424,18
1216442611,18
734901842,18
100001822266982,18
1368124899,18
1007709317,18
100000599363299,16
1095862165,16
572102924,16
677317169,16
1474636824,16
1569281950,16
1575183624,16
1148213848,16
100002361611588,16
1048221446,16
1628266188,16
1584069102,16
1375975315,16
100001263757955,16
100001573443229,16
1577885232,14
1462203855,14
669584808,14
1393294075,14
520556385,14
1569649317,14
791333064,14
100001428024486,14
544919127,14
1747910245,14
1668540992,14
1558260213,14
780892602,14
1439750394,14
100001677596972,14
1613140675,14
1438698037,14
100004283822939,14
100001892187077,14
1463894316,14
100002744942683,14
1627000464,12
1449108101,12
1206710771,12
1472505912,12
659499600,12
1036670655,12
1267867050,12
1596171400,12
800226939,12
1405480620,12
100000192180901,12
100002956984769,12
100007603953907,12
1008799945,12
100004482155086,12
511193459,12
505001217,12
1540549221,12
1768059667,12
100000829985107,12
1386767517,12
1557106720,12
100002888949752,12
1594294965,12
100001798566146,10
699749567,10
100000914628671,10
1008807096,10
1355864057,10
1547469370,10
701600541,10
1487077810,10
1601822613,10
100000716496024,10
5817531,10
100000213743892,10
100004302276046,10
1428844694,10
100000698149607,10
628783466,10
1314048809,10
1288324756,10
1626905945,10
1622738773,10
694285876,10
1299135787,10
1453744823,10
1584002040,10
1321023144,10
100007032030521,10
862830703,10
1586461351,10
1120025226,8
100002201148895,8
1176475320,8
1489906719,8
1105261710,8
100001032716895,8
1477755458,8
1668550495,8
100000988246699,8
1520038290,8
1457172777,8
575979885,8
1701079324,8
1613591485,8
1048418350,8
100000835554129,8
1283700881,8
1437736755,8
630011129,8
1582975737,8
680659726,8
1248077592,8
1560710573,8
1795054285,8
100000506081060,8
706512911,8
100003532354877,8
100004426682363,8
781138749,8
678699723,8
591419319,8
1072707489,8
1636804832,8
1204836539,8
100001952146734,8
1346911280,8
100000592057475,8
757802689,8
100006680409617,8
1031734142,6
1620195574,6
592958344,6
100003825277168,6
1120816688,6
708010934,6
100003676567468,6
1164788058,6
733285873,6
718708497,6
100003639653463,6
100000693867804,6
1504298546,6
741463054,6
698112573,6
1517133420,6
100004559771088,6
1458385607,6
100001280413385,6
720956002,6
1556083802,6
1075460773,6
1462770121,6
100000465069858,6
100002358934814,6
100000452481169,6
100003220899437,6
1663040691,6
1232072827,6
100002291200916,6
1430711411,6
1559337535,6
1593965528,6
100000268942092,6
1483467709,6
100000483689096,6
100000470980823,6
100000029835920,6
100001986141635,6
1024121348,6
100004427701083,6
626229190,6
1518778121,6
1330866241,6
1124714014,6
100001103491934,6
100000375983558,6
1565629094,6
1182370220,6
1581378866,6
100003463030895,6
1488096153,6
603549226,6
1577440545,4
1373347961,4
554993142,4
1210125203,4
1511243235,4
1031049658,4
597324915,4
100000571423613,4
1542361940,4
1561775570,4
1267055942,4
1479025876,4
1514870936,4
1386517877,4
100000664030510,4
1564129646,4
1558083017,4
100000006026395,4
1644555731,4
1610604028,4
1456540389,4
572171136,4
1168655714,4
1555206885,4
100000683008839,4
100003043750618,4
1169335461,4
1546522808,4
1379492769,4
100003113135151,4
100001459904408,4
1633788209,4
1101030535,4
1075098284,4
1139756507,4
1418284189,4
100001591300159,4
623844406,4
1195812221,4
100004467066436,4
100001439659930,4
1743955523,4
1479333770,4
1504360075,4
100002909319260,4
100003320849218,4
1352832816,4
1473023750,4
649021472,4
778033165,4
1052252922,4
1454082922,4
1284028491,4
1443267284,4
100000175295512,4
1389007392,4
100000019652923,4
100000494169403,4
100003730505905,4
755749967,4
589236336,4
1063863945,4
100001479467440,4
1575157543,4
1333568317,4
100001074596054,2
537646373,2
1540561041,2
1557010565,2
1554340672,2
551935451,2
1147422517,2
100004066161920,2
100000944327188,2
1432035836,2
100000266187689,2
1724659168,2
100003327577989,2
650606943,2
100000968232202,2
1554693303,2
1658362786,2
100001623657750,2
1460318747,2
100008492431649,2
100000883181295,2
100000263684799,2
1285548134,2
507631086,2
1569581584,2
1153089848,2
1062507746,2
1235104048,2
1750330291,2
1508824441,2
1019064693,2
1834016443,2
1522676779,2
1849575570,2
1609786183,2
1486168156,2
1613247180,2
1576926807,2
1550237997,2
1099060807,2
1435015804,2
1556228173,2
1433288692,2
1286083141,2
1407863490,2
1413994569,2
100000019521492,2
100000180979866,2
1253203453,2
1387804640,2
1577991118,2
1481304268,2
1575434372,2
